id;hardware_id;plain_id;description;party_id
1;magnetic up;Wooden invoice;invoice orchid Yemeni;1
2;deposit invoice Synchronised;Shilling payment;Buckinghamshire;2
3;Branding open-source;Svalbard Sausages Tools;Bike Direct;3
4;Savings Baby;Balanced bleeding-edge synthesize;PCI;4
5;Nebraska;Generic USB;AGP input drive;5
6;plum website circuit;Human;Assurance Wooden high-level;6
7;Focused Versatile intangible;Hat copying Accounts;Guarani invoice 6th;7
8;uniform magenta Gorgeous;Ball loyalty;Fresh Saint lavender;8
9;Toys;payment;back-end Indiana;9
10;PNG;Plaza transmit;synthesizing Concrete eyeballs;10
